PLAYER_NAME,Freq,eFG%,TO%,PtsPerPoss,Score%,PPPRank
DeMarcus Cousins,12.64,58.18,16.88,1.03,48.52,140.0
Stephen Curry,20.11,66.77,12.38,1.22,51.73,315.0
James Harden,21.01,58.08,16.46,1.07,49.59,174.0
Damian Lillard,10.49,50.7,18.59,0.91,40.2,67.0
Kevin Durant,15.13,72.22,14.44,1.32,57.4,363.0
Anthony Davis,8.06,70.37,9.57,1.36,68.7,385.0
LeBron James,19.45,75.71,14.68,1.32,65.37,364.0
Carmelo Anthony,8.14,53.15,14.81,0.93,37.04,76.0
Russell Westbrook,23.28,61.04,15.16,1.15,57.05,244.0
Paul George,16.17,58.22,15.06,1.1,49.36,208.0
CJ McCollum,13.1,57.74,15.11,1.05,47.56,152.0
DeMar DeRozan,7.91,59.14,11.72,1.22,60.69,321.0
John Wall,23.55,58.76,18.72,1.02,50.24,129.0
Klay Thompson,17.54,67.51,10.6,1.24,50.88,333.0
Blake Griffin,11.08,76.53,19.77,1.29,65.12,344.0
Brandon Knight,12.86,68.42,13.61,1.22,57.14,325.0
Isaiah Thomas,22.79,54.57,10.05,1.08,48.8,185.0
Kobe Bryant,9.62,54.29,13.18,0.98,40.31,104.0
Kyrie Irving,13.08,62.72,9.29,1.21,55.71,314.0
Kemba Walker,13.8,59.55,6.87,1.24,57.51,330.0
Dwyane Wade,12.76,59.42,16.0,1.04,55.0,150.0
Nikola Vucevic,5.12,61.11,6.35,1.14,60.32,240.0
Andrew Wiggins,11.73,64.24,13.3,1.18,59.61,278.0
Derrick Rose,14.59,47.12,17.46,0.85,43.39,47.0
Eric Bledsoe,18.73,61.41,16.54,1.09,51.18,195.0
Brook Lopez,3.65,61.54,12.73,1.15,60.0,245.0
Reggie Jackson,13.22,53.02,18.87,0.98,45.28,97.0
Kyle Lowry,16.82,61.86,10.95,1.21,55.47,308.0
Jimmy Butler,12.15,54.09,11.98,1.08,56.29,183.0
Kawhi Leonard,12.83,62.31,10.0,1.21,55.88,306.0
Chris Paul,12.89,66.13,19.89,1.15,52.15,242.0
Gordon Hayward,13.57,68.37,11.01,1.31,61.47,355.0
Dirk Nowitzki,4.64,74.55,8.2,1.34,49.18,379.0
Jahlil Okafor,6.6,71.43,10.77,1.34,64.62,375.0
Bradley Beal,17.45,59.38,4.12,1.18,52.35,283.0
Khris Middleton,13.55,67.99,15.31,1.24,56.63,334.0
Chris Bosh,4.56,57.14,13.64,1.02,47.73,130.0
Rudy Gay,18.28,69.01,13.1,1.24,59.39,332.0
Jrue Holiday,10.45,57.87,20.8,0.95,41.6,87.0
LaMarcus Aldridge,4.84,70.59,6.45,1.42,69.35,402.0
Karl-Anthony Towns,7.33,64.93,23.58,1.08,52.83,191.0
Ryan Anderson,8.35,62.94,6.45,1.19,45.16,294.0
Jordan Clarkson,15.42,54.01,15.69,0.94,44.12,79.0
Pau Gasol,4.97,63.73,10.94,1.22,57.81,317.0
Marc Gasol,1.92,64.29,5.56,1.17,61.11,266.0
Avery Bradley,20.03,60.7,8.44,1.13,52.74,228.0
Victor Oladipo,17.86,55.56,9.13,1.09,53.42,203.0
Zach Randolph,3.07,66.67,11.76,1.18,58.82,274.0
Emmanuel Mudiay,15.28,42.91,16.67,0.82,40.32,42.0
Danilo Gallinari,9.91,71.09,3.13,1.54,69.79,413.0
Thaddeus Young,16.11,55.76,16.4,0.94,48.15,80.0
Paul Millsap,10.86,61.25,13.46,1.08,53.21,178.0
Derrick Favors,3.62,53.33,10.81,1.05,51.35,154.0
Andre Drummond,6.04,64.52,13.48,1.0,52.81,108.0
Al Horford,10.02,67.62,9.02,1.25,58.2,335.0
Kevin Love,9.04,62.05,14.91,1.1,48.25,205.0
Giannis Antetokounmpo,20.41,68.16,13.99,1.22,62.59,324.0
Monta Ellis,17.48,58.64,18.78,1.03,49.78,134.0
Kentavious Caldwell-Pope,22.18,59.57,7.36,1.19,53.49,289.0
Tyreke Evans,14.55,71.05,25.81,1.06,53.23,166.0
Ish Smith,16.61,64.29,18.75,1.08,50.0,188.0
Nicolas Batum,10.57,68.02,25.62,1.02,47.11,132.0
Mike Conley,11.35,48.63,13.13,0.95,45.45,84.0
Jeff Teague,17.38,61.75,16.74,1.11,50.64,213.0
Rodney Hood,7.77,60.61,8.7,1.2,57.61,297.0
Kristaps Porzingis,7.16,51.56,11.25,0.95,45.0,85.0
Goran Dragic,20.6,61.78,16.67,1.07,53.42,173.0
Eric Gordon,16.25,59.24,6.36,1.2,50.0,300.0
Will Barton,22.27,57.64,10.62,1.11,53.11,218.0
D'Angelo Russell,15.78,56.25,18.97,0.95,43.59,83.0
Greg Monroe,5.4,65.38,9.23,1.23,60.0,329.0
Deron Williams,10.45,45.07,15.09,0.95,44.34,88.0
Jamal Crawford,11.85,58.48,10.14,1.15,47.83,251.0
Marcus Morris,11.01,58.0,11.36,1.12,51.52,222.0
Jabari Parker,18.19,66.67,11.33,1.21,62.56,312.0
Evan Fournier,16.01,72.86,10.16,1.34,61.5,377.0
JJ Redick,12.18,65.45,3.94,1.31,53.54,353.0
Zach LaVine,21.52,64.32,9.73,1.22,58.75,316.0
Tobias Harris,12.05,66.25,10.0,1.22,60.0,319.0
Devin Booker,18.61,62.03,13.27,1.17,52.13,265.0
Arron Afflalo,13.18,51.5,8.13,1.03,44.72,138.0
Markieff Morris,6.94,60.94,12.82,1.08,48.72,178.0
Jarrett Jack,10.93,52.86,25.93,0.81,38.89,41.0
Serge Ibaka,12.44,60.48,10.16,1.13,50.78,230.0
Jae Crowder,20.7,58.04,6.28,1.16,55.07,263.0
J.R. Smith,15.3,59.85,3.47,1.14,45.14,235.0
Wesley Matthews,10.91,53.76,3.7,1.11,46.3,214.0
Rajon Rondo,19.81,52.82,38.22,0.67,34.22,13.0
Alec Burks,15.54,57.29,14.49,1.09,52.17,196.0
Norris Cole,16.92,48.77,10.1,0.93,44.44,74.0
Al Jefferson,1.87,70.0,0.0,1.36,72.73,388.0
Chandler Parsons,15.51,69.42,8.8,1.3,56.0,350.0
Robert Covington,20.02,53.87,12.43,1.03,42.7,136.0
Joe Johnson,9.09,82.0,7.14,1.5,60.71,410.0
Trevor Ariza,24.02,70.05,8.0,1.31,55.2,356.0
Darren Collison,30.09,62.82,11.0,1.19,55.0,285.0
DeMarre Carroll,21.36,51.69,4.35,1.01,47.83,126.0
Lou Williams,14.15,51.02,10.14,1.06,50.72,158.0
Julius Randle,15.77,60.09,17.92,1.04,53.18,146.0
Jeff Green,16.56,50.0,5.66,1.06,49.06,156.0
Michael Carter-Williams,13.32,63.04,19.23,1.09,55.77,194.0
Michael Beasley,15.14,76.67,5.26,1.47,76.32,409.0
Marcin Gortat,7.56,64.29,8.11,1.23,64.86,327.0
Luol Deng,15.48,68.14,6.38,1.33,63.83,370.0
Gary Harris,21.38,65.03,10.26,1.22,60.0,320.0
Draymond Green,18.54,59.33,28.76,0.88,44.25,55.0
Elfrid Payton,15.38,57.92,19.87,0.98,49.01,101.0
Jared Sullinger,6.92,53.64,10.29,0.99,47.06,106.0
George Hill,20.64,58.56,11.83,1.06,50.0,160.0
Trey Burke,12.18,50.68,10.99,0.97,45.05,93.0
CJ Miles,20.42,62.8,9.68,1.18,50.97,280.0
Tony Parker,12.5,54.12,13.04,1.03,52.17,133.0
Mirza Teletovic,13.67,59.55,7.09,1.14,44.09,239.0
Dennis Schroder,9.57,57.25,22.0,0.96,45.0,91.0
Kent Bazemore,23.43,61.14,16.13,1.07,48.85,175.0
Otto Porter,24.64,61.52,7.25,1.2,55.07,304.0
Jose Juan Barea,8.59,55.93,9.46,1.04,48.65,147.0
Harrison Barnes,19.12,61.5,10.49,1.13,52.45,231.0
Bojan Bogdanovic,18.66,66.56,6.4,1.28,56.4,342.0
Isaiah Canaan,18.38,54.17,4.35,1.08,42.24,187.0
TJ Warren,23.46,53.43,5.08,1.08,51.69,190.0
